ZE;Bezeichnung;Betrag;;;
ZE01.01;Hämodialyse, intermittierend, Alter > 14 Jahre;157,24 €;;;
ZE01.02;Hämodialyse, intermittierend, Alter < 15 Jahre;356,58 €;;;
ZE02;Hämodiafiltration, intermittierend;164,93 €;;;
ZE09;Vollimplantierbare Medikamentenpumpe mit programmierbarem variablen Tagesprofil;9.420,60 €;;;
ZE10;Künstlicher Blasenschließmuskel;3.370,92 €;;;
ZE11;Wirbelkörperersatz;siehe Anlage 5;;;
ZE17;Gabe von Gemcitabin, parenteral;siehe Anlage 5;;;
ZE19;Gabe von Irinotecan, parenteral;siehe Anlage 5;;;
ZE30;Gabe von Prothrombinkomplex, parenteral;siehe Anlage 5;;;
ZE36;Plasmapherese;siehe Anlage 5;;;
ZE37;Extrakorporale Photopherese;1.253,24 €;;;
ZE44;Gabe von Topotecan, parenteral;siehe Anlage 5;;;
ZE47;Gabe von Antithrombin III, parenteral;siehe Anlage 5;;;
ZE48;Gabe von Aldesleukin, parenteral;siehe Anlage 5;;;
ZE50;Gabe von Cetuximab, parenteral;siehe Anlage 5;;;
ZE51;Gabe von Human-Immunglobulin, spezifisch gegen Hepatitis-B-surface-Antigen, parenteral;siehe Anlage 5;;;
ZE52;Gabe von Liposomalem Doxorubicin, parenteral;siehe Anlage 5;;;
ZE56;Vollimplantierbare Medikamentenpumpe mit konstanter Flussrate;3.488,13 €;;;
ZE58;Hydraulische Penisprothesen;5.937,54 €;;;
ZE60;Palliativmedizinische Komplexbehandlung;siehe Anlage 5;;;
ZE61;LDL-Apherese;1.015,62 €;;;
ZE62;Hämofiltration, intermittierend;220,27 €;;;
ZE63;Gabe von Paclitaxel, parenteral;siehe Anlage 5;;;
ZE64;Gabe von Human-Immunglobulin, spezifisch gegen Zytomegalie-Virus, parenteral;siehe Anlage 5;;;
ZE67;Gabe von Human-Immunglobulin, spezifisch gegen Varicella-Zoster-Virus, parenteral;siehe Anlage 5;;;
ZE70;Gabe von C1-Esteraseinhibitor, parenteral;siehe Anlage 5;;;
ZE72;Gabe von Pegyliertem liposomalen Doxorubicin, parenteral;siehe Anlage 5;;;
ZE78;Gabe von Temozolomid, oral;siehe Anlage 5;;;
ZE80;Gabe von Docetaxel, parenteral;siehe Anlage 5;;;
ZE93;Gabe von Human-Immunglobulin, polyvalent, parenteral;siehe Anlage 5;;;
ZE96;Gabe von Carmustin, Implantat, intrathekal;siehe Anlage 5;;;
ZE97;Gabe von Natalizumab, parenteral;siehe Anlage 5;;;
ZE98;Gabe von Palivizumab, parenteral;siehe Anlage 5;;;
ZE100;Implantation eines endobronchialen Klappensystems;siehe Anlage 5;;;
ZE101;Medikamente-freisetzende Koronarstents;siehe Anlage 5;;;
ZE105;Selektive Embolisation mit Metallspiralen (Coils) an Kopf, Hals (intra- und extrakraniell) und spinalen Gefäßen oder mit großlumigem Gefäßverschlusskörper;siehe Anlage 5;;;
ZE106;Selektive Embolisation mit Metallspiralen (Coils), andere Lokalisationen;siehe Anlage 5;;;
ZE107;Gabe von Erythrozytenkonzentraten;siehe Anlage 5;;;
ZE108;Gabe von patientenbezogenen Thrombozytenkonzentraten;siehe Anlage 5;;;
ZE110;Gabe von Liposomalem Amphotericin B, parenteral;siehe Anlage 5;;;
ZE113;Gabe von Itraconazol, parenteral;siehe Anlage 5;;;
ZE116;Gabe von Panitumumab, parenteral;siehe Anlage 5;;;
ZE117;Gabe von Trabectedin, parenteral;siehe Anlage 5;;;
ZE119;Hämofiltration, kontinuierlich;siehe Anlage 5;;;
ZE120;Hämodialyse, kontinuierlich, venovenös, pumpengetrieben (CVVHD);siehe Anlage 5;;;
ZE121;Hämodiafiltration, kontinuierlich;siehe Anlage 5;;;
ZE122;Peritonealdialyse, intermittierend, maschinell unterstützt (IPD);204,32 €;;;
ZE123;Peritonealdialyse, kontinuierlich, nicht maschinell unterstützt (CAPD);siehe Anlage 5;;;
ZE125;Implantation oder Wechsel eines interspinösen Spreizers;siehe Anlage 5;;;
ZE126;Autogene / Autologe matrixinduzierte Chondrozytentransplantation;4.122,06 €;;;
ZE128;Gabe von Micafungin, parenteral;siehe Anlage 5;;;
ZE132;Implantation eines Wachstumsstents;siehe Anlage 5;;;
ZE133;Perkutan-transluminale Fremdkörperentfernung und Thrombektomie an intrakraniellen Gefäßen unter Verwendung eines Mikrodrahtretriever-Systems;siehe Anlage 5;;;
ZE135;Gabe von Vinflunin, parenteral;siehe Anlage 5;;;
ZE136;Medikamente-freisetzende Ballons an Koronargefäßen;siehe Anlage 5;;;
ZE137;Medikamente-freisetzende Ballons an anderen Gefäßen;siehe Anlage 5;;;
ZE138;Neurostimulatoren zur Rückenmarkstimulation oder zur Stimulation des peripheren Nervensystems, Einkanalstimulator, mit Sondenimplantation;7.085,57 €;;;
ZE139;Neurostimulatoren zur Rückenmarkstimulation oder zur Stimulation des peripheren Nervensystems, Einkanalstimulator, ohne Sondenimplantation;5.365,43 €;;;
ZE140;Neurostimulatoren zur Rückenmarkstimulation oder zur Stimulation des peripheren Nervensystems, Mehrkanalstimulator, nicht wiederaufladbar, mit Sondenimplantation;11.364,97 €;;;
