ZE;Bezeichnung;ZED;OPS-Kode;OPS-Text;Betrag
ZE01.01;Hämodialyse, intermittierend, Alter > 14 Jahre;;8-854.2;Hämodialyse: Intermittierend, Antikoagulation mit Heparin oder ohne Antikoagulation;siehe Anlage 2
ZE01.01;Hämodialyse, intermittierend, Alter > 14 Jahre;;8-854.3;Hämodialyse: Intermittierend, Antikoagulation mit sonstigen Substanzen;siehe Anlage 2
ZE01.01;Hämodialyse, intermittierend, Alter > 14 Jahre;;8-854.4;Hämodialyse: Verlängert intermittierend, Antikoagulation mit Heparin oder ohne Antikoagulation;siehe Anlage 2
ZE01.01;Hämodialyse, intermittierend, Alter > 14 Jahre;;8-854.5;Hämodialyse: Verlängert intermittierend, Antikoagulation mit sonstigen Substanzen;siehe Anlage 2
ZE01.02;Hämodialyse, intermittierend, Alter < 15 Jahre;;8-854.2;Hämodialyse: Intermittierend, Antikoagulation mit Heparin oder ohne Antikoagulation;siehe Anlage 2
ZE01.02;Hämodialyse, intermittierend, Alter < 15 Jahre;;8-854.3;Hämodialyse: Intermittierend, Antikoagulation mit sonstigen Substanzen;siehe Anlage 2
ZE01.02;Hämodialyse, intermittierend, Alter < 15 Jahre;;8-854.4;Hämodialyse: Verlängert intermittierend, Antikoagulation mit Heparin oder ohne Antikoagulation;siehe Anlage 2
ZE01.02;Hämodialyse, intermittierend, Alter < 15 Jahre;;8-854.5;Hämodialyse: Verlängert intermittierend, Antikoagulation mit sonstigen Substanzen;siehe Anlage 2
ZE02;Hämodiafiltration, intermittierend;;8-855.3;Hämodiafiltration: Intermittierend, Antikoagulation mit Heparin oder ohne Antikoagulation;siehe Anlage 2
ZE02;Hämodiafiltration, intermittierend;;8-855.4;Hämodiafiltration: Intermittierend, Antikoagulation mit sonstigen Substanzen;siehe Anlage 2
ZE02;Hämodiafiltration, intermittierend;;8-855.5;Hämodiafiltration: Verlängert intermittierend, Antikoagulation mit Heparin oder ohne Antikoagulation;siehe Anlage 2
ZE02;Hämodiafiltration, intermittierend;;8-855.6;Hämodiafiltration: Verlängert intermittierend, Antikoagulation mit sonstigen Substanzen;siehe Anlage 2
ZE09;Vollimplantierbare Medikamentenpumpe mit programmierbarem variablen Tagesprofil;;5-028.11;Funktionelle Eingriffe an Schädel, Gehirn und Hirnhäuten: Implantation oder Wechsel einer Medikamentenpumpe zur intraventrikulären Infusion: Vollimplantierbare Medikamentenpumpe mit programmierbarem variablen Tagesprofil;siehe Anlage 2
ZE09;Vollimplantierbare Medikamentenpumpe mit programmierbarem variablen Tagesprofil;;5-038.41;Operationen am spinalen Liquorsystem: Implantation oder Wechsel einer Medikamentenpumpe zur intrathekalen und/oder epiduralen Infusion: Vollimplantierbare Medikamentenpumpe mit programmierbarem variablen Tagesprofil;siehe Anlage 2
ZE10;Künstlicher Blasenschließmuskel;;5-597.0*;Eingriffe bei artifiziellem Harnblasensphinkter: Implantation;siehe Anlage 2
ZE10;Künstlicher Blasenschließmuskel;;5-597.30;Eingriffe bei artifiziellem Harnblasensphinkter: Wechsel: Vollständig, bulbär, 1 Cuff;siehe Anlage 2
ZE10;Künstlicher Blasenschließmuskel;;5-597.31;Eingriffe bei artifiziellem Harnblasensphinkter: Wechsel: Vollständig, bulbär, 2 Cuffs;siehe Anlage 2
ZE10;Künstlicher Blasenschließmuskel;;5-597.32;Eingriffe bei artifiziellem Harnblasensphinkter: Wechsel: Vollständig, am Blasenhals;siehe Anlage 2
ZE11;Wirbelkörperersatz;;;Wirbelkörperersatz und komplexe Rekonstruktion der Wirbelsäule: Wirbelkörperersatz durch Implantat;Wirbelkörperersatz und komplexe Rekonstruktion der Wirbelsäule: Wirbelkörperersatz durch Implantat
ZE11;Wirbelkörperersatz;ZE11.01;5-837.00;1 Wirbelkörper;832,87 €
ZE11;Wirbelkörperersatz;ZE11.02;5-837.01;2 Wirbelkörper;1.448,82 €
ZE11;Wirbelkörperersatz;ZE11.03;5-837.02;3 Wirbelkörper;2.064,77 €
ZE11;Wirbelkörperersatz;ZE11.04;5-837.04;4 Wirbelkörper;2.680,72 €
ZE11;Wirbelkörperersatz;ZE11.05;5-837.05;5 oder mehr Wirbelkörper;3.296,67 €
ZE17;Gabe von Gemcitabin, parenteral;;;Applikation von Medikamenten, Liste 1: Gemcitabin, parenteral;Applikation von Medikamenten, Liste 1: Gemcitabin, parenteral
ZE17;Gabe von Gemcitabin, parenteral;ZE17.10;6-001.19;19,0 g bis unter 22,0 g;209,13 €
ZE17;Gabe von Gemcitabin, parenteral;ZE17.11;6-001.1a;22,0 g bis unter 25,0 g;240,50 €
ZE17;Gabe von Gemcitabin, parenteral;ZE17.12;6-001.1b;25,0 g bis unter 28,0 g;271,87 €
ZE17;Gabe von Gemcitabin, parenteral;ZE17.13;6-001.1c;28,0 g bis unter 31,0 g;303,24 €
ZE17;Gabe von Gemcitabin, parenteral;ZE17.14;6-001.1d;31,0 g bis unter 34,0 g;334,61 €
ZE17;Gabe von Gemcitabin, parenteral;ZE17.15;6-001.1e;34,0 g oder mehr;365,98 €
ZE19;Gabe von Irinotecan, parenteral;;;Applikation von Medikamenten, Liste 1: Irinotecan, parenteral;Applikation von Medikamenten, Liste 1: Irinotecan, parenteral
ZE19;Gabe von Irinotecan, parenteral;ZE19.14;6-001.3d;2.000 mg bis unter 2.200 mg;146,32 €
ZE19;Gabe von Irinotecan, parenteral;ZE19.15;6-001.3e;2.200 mg bis unter 2.400 mg;160,48 €
ZE19;Gabe von Irinotecan, parenteral;ZE19.16;6-001.3f;2.400 mg bis unter 2.600 mg;174,64 €
ZE19;Gabe von Irinotecan, parenteral;ZE19.17;6-001.3g;2.600 mg bis unter 2.800 mg;188,80 €
ZE19;Gabe von Irinotecan, parenteral;ZE19.18;6-001.3h;2.800 mg bis unter 3.000 mg;202,96 €
ZE19;Gabe von Irinotecan, parenteral;ZE19.19;6-001.3j;3.000 mg oder mehr;217,12 €
ZE30;Gabe von Prothrombinkomplex, parenteral;;;Transfusion von Plasma und anderen Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Prothrombinkomplex;Transfusion von Plasma und anderen Plasmabestandteilen und gentechnisch hergestellten Plasmaproteinen: Prothrombinkomplex
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.02;8-812.53;3.500 IE bis unter 4.500 IE;868,28 €
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.03;8-812.54;4.500 IE bis unter 5.500 IE;1.103,45 €
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.04;8-812.55;5.500 IE bis unter 6.500 IE;1.331,75 €
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.05;8-812.56;6.500 IE bis unter 7.500 IE;1.560,05 €
ZE30;Gabe von Prothrombinkomplex, parenteral;ZE30.06;8-812.57;7.500 IE bis unter 8.500 IE;1.788,35 €
