ZE;Bezeichnung;OPS-Kode;OPS-Text
ZE2021-01;Beckenimplantate;5-785.2d;Implantation von alloplastischem Knochenersatz: Keramischer Knochenersatz: Becken
ZE2021-01;Beckenimplantate;5-785.3d;Implantation von alloplastischem Knochenersatz: Keramischer Knochenersatz, resorbierbar: Becken
ZE2021-01;Beckenimplantate;5-785.4d;Implantation von alloplastischem Knochenersatz: Metallischer Knochenersatz: Becken
ZE2021-01;Beckenimplantate;5-785.5d;Implantation von alloplastischem Knochenersatz: Keramischer Knochenersatz, resorbierbar mit Antibiotikumzusatz: Becken
ZE2021-02;Links- und rechtsventrikuläre Herzassistenzsysteme („Kunstherz“);5-376.20;Implantation und Entfernung eines herzunterstützenden Systems, offen chirurgisch: Extrakorporale Pumpe (z.B. Kreiselpumpe oder Zentrifugalpumpe), univentrikulär: Implantation, mit Sternotomie
ZE2021-02;Links- und rechtsventrikuläre Herzassistenzsysteme („Kunstherz“);5-376.22;Implantation und Entfernung eines herzunterstützenden Systems, offen chirurgisch: Extrakorporale Pumpe (z.B. Kreiselpumpe oder Zentrifugalpumpe), univentrikulär: Isolierter Pumpenwechsel, nicht offen chirurgisch
ZE2021-02;Links- und rechtsventrikuläre Herzassistenzsysteme („Kunstherz“);5-376.23;Implantation und Entfernung eines herzunterstützenden Systems, offen chirurgisch: Extrakorporale Pumpe (z.B. Kreiselpumpe oder Zentrifugalpumpe), univentrikulär: Implantation, transapikal
ZE2021-02;Links- und rechtsventrikuläre Herzassistenzsysteme („Kunstherz“);5-376.30;Implantation und Entfernung eines herzunterstützenden Systems, offen chirurgisch: Extrakorporale Pumpe (z.B. Kreiselpumpe oder Zentrifugalpumpe), biventrikulär: Implantation
ZE2021-02;Links- und rechtsventrikuläre Herzassistenzsysteme („Kunstherz“);5-376.33;Implantation und Entfernung eines herzunterstützenden Systems, offen chirurgisch: Extrakorporale Pumpe (z.B. Kreiselpumpe oder Zentrifugalpumpe), biventrikulär: Isolierter Pumpenwechsel einer Pumpe, nicht offen chirurgisch
ZE2021-02;Links- und rechtsventrikuläre Herzassistenzsysteme („Kunstherz“);5-376.34;Implantation und Entfernung eines herzunterstützenden Systems, offen chirurgisch: Extrakorporale Pumpe (z.B. Kreiselpumpe oder Zentrifugalpumpe), biventrikulär: Isolierter Pumpenwechsel beider Pumpen, nicht offen chirurgisch
