DRG;Partition;Bezeichnung;Bewertungsrelation bei Hauptabteilung;Bewertungsrelation bei Hauptabteilung und Beleghebamme;Mittlere Verweildauer;Untere Grenzverweildauer;Untere Grenzverweildauer: Bewertungsrelation pro Tag;Obere Grenzverweildauer;Obere Grenzverweildauer: Bewertungsrelation pro Tag;Externe Verlegung Abschlag pro Tag;Verlegungsfallpauschale;Ausnahme von Wiederaufnahme;Pflegeerlös Bewertungsrelation pro Tag
Prä-MDC;;;;;;;;;;;;;
A01A;O;Lebertransplantation mit Beatmung > 179 Stunden oder kombinierter Dünndarmtransplantation;20,139;;48,4;15;0,928;66;0,380;;x;x;3,2858
A01B;O;Lebertransplantation ohne kombinierte Dünndarmtranspl. mit Beatmung > 59 und < 180 Std. od. mit Transplantatabstoßung od. mit komb. Nierentranspl. od. m. kombinierter Pankreastranspl. od. Alter < 6 J. oder od. m. intensivm. Komplexbeh. > 980 / 828 / - P.;11,792;;30,5;9;0,828;48;0,285;;x;x;2,5368
A01C;O;Lebertransplantation ohne kombinierte Dünndarmtransplantation, ohne Beatmung > 59 Stunden, ohne Transplantatabstoßung, ohne komb. Nierentranspl., ohne kombinierte Pankreastranspl., Alter > 5 Jahre, ohne intensivmed. Komplexbehandlung > 980 / 828 / - P.;8,542;;22,9;7;0,701;39;0,245;;x;x;1,9304
A02Z;O;Transplantation von Niere und Pankreas;8,529;;24,0;7;0,677;42;0,239;;x;x;1,9951
A03A;O;Lungentransplantation mit Beatmung > 179 Stunden;24,863;;49,8;16;1,221;68;0,417;;x;x;3,2857
A03B;O;Lungentransplantation ohne Beatmung > 179 Stunden;11,929;;25,5;7;1,011;38;0,378;;x;x;2,3406
A04B;O;Knochenmarktranspl. / Stammzelltransf., allogen, außer bei Plasmozytom oder mit Graft-versus-Host-Krankheit Grad III und IV, mit Gabe best. Stammzellen od. Alt. < 18 J., mit best. Entnahme od. Stammzellboost od. intensivmed. Komplexbeh. > 2058 / - / - P.;20,506;;50,8;16;1,014;69;0,402;;x;x;3,2406
A04C;O;Knochenmarktransplantation / Stammzelltransfusion, allogen, < 18 J. od. GVHD Grad III/IV od. auß. b. Plasmozytom, mit Gabe best. Stammz. od. GVHD III/IV od. HLA-versch., mit best. Entn. od. SZ-Boost od. m. intensivm. Komplexbeh. > 1764 / 1932 / 2760 P.;19,006;;56,5;18;0,947;74;0,319;;x;x;3,0960
A04D;O;Knochenmarktransplantation / Stammzelltransfusion, allogen, mit Graft-versus-Host-Krankheit Grad III und IV oder außer bei Plasmozytom, HLA-verschieden oder mit Komplexbehandlung bei multiresistenten Erregern;11,044;;39,2;12;0,819;57;0,271;;x;x;2,0340
