DRG;Code;Anzahl;Prozent
801A;C61;5;0,0526
801A;N17.93;5;0,0526
801A;M31.3;4;0,0421
801B;N18.5;21;0,0348
801B;N17.93;20;0,0332
801B;I50.01;14;0,0232
801B;C50.9;12;0,0199
801B;C64;12;0,0199
801B;I50.14;12;0,0199
801B;C50.8;10;0,0166
801B;C49.4;8;0,0133
801B;C34.1;7;0,0116
801B;N32.1;7;0,0116
801B;A46;6;0,01
801B;C15.5;5;0,0083
801B;C34.8;5;0,0083
801B;C43.5;5;0,0083
801B;E86;5;0,0083
801B;I26.9;5;0,0083
801B;J18.1;5;0,0083
801B;N17.83;5;0,0083
801B;C16.0;4;0,0066
801B;C20;4;0,0066
801B;C43.6;4;0,0066
801B;C56;4;0,0066
801B;C96.6;4;0,0066
801B;G51.0;4;0,0066
801B;I10.01;4;0,0066
801B;I48.0;4;0,0066
801B;J44.00;4;0,0066
801B;J44.19;4;0,0066
801B;J86.9;4;0,0066
801B;N39.0;4;0,0066
801C;D18.08;16;0,042
801C;C61;11;0,0289
801C;K22.3;10;0,0262
801C;I50.14;8;0,021
801C;C50.9;7;0,0184
801C;I50.01;7;0,0184
801C;I63.4;7;0,0184
801C;N39.0;7;0,0184
801C;C25.0;6;0,0157
801C;K91.83;6;0,0157
801C;I50.13;5;0,0131
801C;C22.1;4;0,0105
801C;F45.41;4;0,0105
801C;I63.3;4;0,0105
801C;J69.0;4;0,0105
801D;E86;39;0,0166
801D;N17.93;37;0,0158
801D;I50.01;36;0,0153
801D;I50.14;35;0,0149
801D;A46;33;0,0141
801D;J18.9;33;0,0141
801D;C61;32;0,0136
801D;C34.1;31;0,0132
801D;S22.44;31;0,0132
801D;N39.0;28;0,0119
801D;S27.0;28;0,0119
801D;C50.9;24;0,0102
801D;G51.0;23;0,0098
801D;J18.1;23;0,0098
801D;M60.05;23;0,0098
801D;S06.6;23;0,0098
801D;I26.0;22;0,0094
801D;E87.1;21;0,0089
801D;I26.9;21;0,0089
801D;I50.13;21;0,0089
801D;S06.0;20;0,0085
801D;J18.0;19;0,0081
801D;I10.01;18;0,0077
801D;C20;17;0,0072
801D;C34.3;16;0,0068
801D;J15.8;16;0,0068
801D;K92.2;16;0,0068
801D;C50.8;15;0,0064
801D;I21.4;15;0,0064
801D;J15.9;15;0,0064
801D;R55;15;0,0064
801D;C64;14;0,006
801D;D17.7;14;0,006
801D;J44.00;14;0,006
801D;J44.19;14;0,006
801D;J18.8;13;0,0055
801D;J44.09;13;0,0055
801D;K70.3;13;0,0055
801D;N32.1;13;0,0055
801D;S06.5;13;0,0055
801D;C25.0;12;0,0051
801D;C67.8;12;0,0051
801D;J18.2;12;0,0051
801D;J44.10;12;0,0051
801D;N17.92;12;0,0051
801D;K26.0;11;0,0047
801D;K31.82;11;0,0047
801D;E11.74;10;0,0043
801D;G40.2;10;0,0043
801D;I63.4;10;0,0043
801D;J22;10;0,0043
801D;K21.0;10;0,0043
801D;A09.9;9;0,0038
801D;C16.0;9;0,0038
801D;E11.73;9;0,0038
801D;I48.0;9;0,0038
801D;K57.31;9;0,0038
801D;N10;9;0,0038
801D;N30.0;9;0,0038
801D;S27.2;9;0,0038
801D;C34.0;8;0,0034
801D;C56;8;0,0034
801D;E11.91;8;0,0034
801D;H34.1;8;0,0034
801D;K25.0;8;0,0034
801D;N17.91;8;0,0034
801D;R42;8;0,0034
801D;A04.70;7;0,003
801D;C34.8;7;0,003
801D;C34.9;7;0,003
801D;F33.2;7;0,003
801D;I63.5;7;0,003
801D;J44.01;7;0,003
801D;K56.4;7;0,003
801D;K65.0;7;0,003
801D;M31.3;7;0,003
801D;N18.5;7;0,003
801D;R31;7;0,003
801D;S02.1;7;0,003
801D;S22.42;7;0,003
801D;C18.7;6;0,0026
801D;I20.0;6;0,0026
801D;I86.88;6;0,0026
801D;J44.02;6;0,0026
801D;J44.12;6;0,0026
801D;J69.0;6;0,0026
801D;L03.11;6;0,0026
801D;N17.83;6;0,0026
801D;A09.0;5;0,0021
801D;C15.4;5;0,0021
801D;C15.5;5;0,0021
801D;C49.4;5;0,0021
801D;E87.6;5;0,0021
801D;F10.0;5;0,0021
801D;F45.41;5;0,0021
801D;G40.5;5;0,0021
801D;I63.3;5;0,0021
801D;J20.9;5;0,0021
801D;J90;5;0,0021
801D;K29.0;5;0,0021
801D;K52.8;5;0,0021
801D;K52.9;5;0,0021
801D;K74.6;5;0,0021
801D;M62.08;5;0,0021
801D;N13.6;5;0,0021
801D;S00.85;5;0,0021
801D;S06.33;5;0,0021
801D;S30.0;5;0,0021
801D;A04.5;4;0,0017
