Bundesland,LBFW 2023 ohne Ausgleiche,LBFW 2023 mit Ausgleichen,Zahlbetrags-LBFW 2023, LBFW 2021 ohne Ausgleiche,LBFW 2021 mit Ausgleichen,Zahlbetrags-LBFW 2021
Baden-Württemberg,4005.20,4007.13,4022.56,3750.41,3750.41,3763.00
Bayern,3992.68,3994.59,3994.59,3738.70,3739.35,3739.35
Berlin,4005.54,4007.48,4007.48,3750.11,3750.11,3750.11
Brandenburg,3995.39,3997.36,3997.36,3741.00,3741.50,3741.50
Bremen,4003.69,4005.61,4005.61,3749.00,3749.00,3749.00
Hamburg,3997.48,3999.37,3999.37,3743.70,3743.70,3743.70
Hessen,3993.73,3995.60,3995.60,3740.21,3740.21,3783.24
Mecklenburg-Vorpommern,4000.68,4002.61,4002.61,3746.00,3746.00,3746.00
Niedersachsen,3993.44,3995.38,3995.38,3739.40,3739.40,3747.28
Nordrhein-Westfalen,3992.52,3994.43,3994.43,3738.55,3738.55,3738.55
Rheinland-Pfalz,4096.61,4099.57,4099.57,3876.66,3851.85,3851.85
Saarland,4028.71,4030.64,4030.64,3773.00,3773.00,3773.00
Sachsen,3992.34,3994.28,3994.28,3738.74,3738.74,3738.74
Sachsen-Anhalt,3992.34,3994.28,3994.28,3738.74,3738.74,3738.74
Schleswig-Holstein,3992.62,3994.53,3994.53,3739.00,3739.00,3739.00
Thüringen,3992.34,3994.28,3994.28,3738.74,3738.74,3738.74
