DRG,ICD,OPS
801D,C71.6,1-698.0
801E,C71.6,5-010.x
801D,C71.8,1-698.0
801E,C71.8,5-010.x
801D,G91.1,1-698.0
801E,G91.1,5-010.x
801D,D33.1,1-698.0
801E,D33.1,5-010.x
801D,C71.0,1-698.0
801E,C71.0,5-010.x
801D,D43.1,1-698.0
801E,D43.1,5-010.x
801D,G91.0,1-698.0
801E,G91.0,5-010.x
801D,T85.0,1-698.0
801E,T85.0,5-010.x
801E,C79.3,5-010.x
801D,C79.3,1-698.0
801D,C79.3,5-858.70
801E,D32.0,5-010.x
801D,D32.0,1-698.0
801D,D32.0,5-858.70
801E,G06.0,5-010.x
801D,G06.0,1-698.0
801D,G06.0,5-858.70
801E,C71.1,5-010.x
801D,C71.1,1-698.0
801D,C71.1,5-858.70
801E,C71.2,5-010.x
801D,C71.2,1-698.0
801D,C71.2,5-858.70
801E,D33.3,5-010.x
801D,D33.3,1-698.0
801D,D33.3,5-858.70
801E,T85.0,5-010.x
801D,T85.0,1-698.0
801D,T85.0,5-858.70
801E,C71.8,5-010.x
801D,C71.8,1-698.0
801D,C71.8,5-858.70
801E,C71.3,5-010.x
801D,C71.3,1-698.0
801D,C71.3,5-858.70
801E,G91.1,5-010.x
801D,G91.1,1-698.0
801D,G91.1,5-858.70
801E,G91.0,5-010.x
801D,G91.0,1-698.0
801D,G91.0,5-858.70
801E,I61.0,5-010.x
801D,I61.0,1-698.0
801D,I61.0,5-858.70
801E,G91.8,5-010.x
801D,G91.8,1-698.0
801D,G91.8,5-858.70
801E,I61.6,5-010.x
801D,I61.6,1-698.0
801D,I61.6,5-858.70
801E,D33.0,5-010.x
801D,D33.0,1-698.0
801D,D33.0,5-858.70
801E,D33.1,5-010.x
801D,D33.1,1-698.0
801D,D33.1,5-858.70
801E,G93.0,5-010.x
801D,G93.0,1-698.0
801D,G93.0,5-858.70
801E,I61.4,5-010.x
801D,I61.4,1-698.0
801D,I61.4,5-858.70
801E,G97.80,5-010.x
801D,G97.80,1-698.0
801D,G97.80,5-858.70
801E,I67.10,5-010.x
801D,I67.10,1-698.0
801D,I67.10,5-858.70
801E,C71.0,5-010.x
801D,C71.0,1-698.0
801D,C71.0,5-858.70
801E,C71.5,5-010.x
801D,C71.5,1-698.0
801D,C71.5,5-858.70
801E,C71.6,5-010.x
801D,C71.6,1-698.0
801D,C71.6,5-858.70
801E,D18.02,5-010.x
801D,D18.02,1-698.0
801D,D18.02,5-858.70
801E,G06.1,5-010.x
801D,G06.1,1-698.0
801D,G06.1,5-858.70
801E,G50.0,5-010.x
801D,G50.0,1-698.0
801D,G50.0,5-858.70
801E,I61.5,5-010.x
801D,I61.5,1-698.0
801D,I61.5,5-858.70
801E,C79.3,5-010.x
801E,C71.2,5-010.x
801E,C71.1,5-010.x
801E,C71.8,5-010.x
801E,C71.3,5-010.x
801E,C71.7,5-010.x
801E,S06.5,5-010.x
801E,I60.2,5-010.x
801E,I60.1,5-010.x
801E,I61.0,5-010.x
801E,C79.3,5-010.x
801E,I60.3,5-010.x
801E,I63.4,5-010.x
801E,I61.4,5-010.x
801E,I67.10,5-010.x
801E,D32.0,5-010.x
801E,I61.5,5-010.x
801E,I60.0,5-010.x
801E,I60.6,5-010.x
801E,I60.8,5-010.x
801E,G06.0,5-010.x
801E,I60.4,5-010.x
801E,S06.6,5-010.x
801D,D32.0,1-698.0
801E,D32.0,5-010.x
801D,D33.3,1-698.0
801E,D33.3,5-010.x
801D,C71.1,1-698.0
801E,C71.1,5-010.x
801D,C79.3,1-698.0
801E,C79.3,5-010.x
801D,C71.2,1-698.0
801E,C71.2,5-010.x
801D,I67.10,1-698.0
801E,I67.10,5-010.x
801D,C71.3,1-698.0
801E,C71.3,5-010.x
801D,D33.1,1-698.0
801E,D33.1,5-010.x
801D,C71.8,1-698.0
801E,C71.8,5-010.x
801D,C71.0,1-698.0
801E,C71.0,5-010.x
801D,D33.0,1-698.0
801E,D33.0,5-010.x
801D,C71.6,1-698.0
801E,C71.6,5-010.x
801D,S06.5,1-698.0
801E,S06.5,5-010.x
801D,C71.7,1-698.0
801E,C71.7,5-010.x
801D,C71.4,1-698.0
801E,C71.4,5-010.x
801D,G06.0,1-698.0
801E,G06.0,5-010.x
801D,I61.0,1-698.0
801E,I61.0,5-010.x
801D,I63.4,1-698.0
801E,I63.4,5-010.x
801D,D33.2,1-698.0
801E,D33.2,5-010.x
801D,C71.9,1-698.0
801E,C71.9,5-010.x
801D,I63.5,1-698.0
801E,I63.5,5-010.x
801D,C71.5,1-698.0
801E,C71.5,5-010.x
801D,G40.2,1-698.0
801E,G40.2,5-010.x
801D,I63.3,1-698.0
801E,I63.3,5-010.x
801D,D43.2,1-698.0
801E,D43.2,5-010.x
801D,I63.0,1-698.0
801E,I63.0,5-010.x
801D,D35.3,1-698.0
801E,D35.3,5-010.x
801D,D43.0,1-698.0
801E,D43.0,5-010.x
