OPS_Code_ ,männlich_unter 1 Jahr,männlich_1 bis unter 5 Jahre,männlich_5 bis unter 10 Jahre,männlich_10 bis unter 15 Jahre,männlich_15 bis unter 18 Jahre,männlich_18 bis unter 20 Jahre,männlich_20 bis unter 25 Jahre,männlich_25 bis unter 30 Jahre,männlich_30 bis unter 35 Jahre,männlich_35 bis unter 40 Jahre,männlich_40 bis unter 45 Jahre,männlich_45 bis unter 50 Jahre,männlich_50 bis unter 55 Jahre,männlich_55 bis unter 60 Jahre,männlich_60 bis unter 65 Jahre,männlich_65 bis unter 70 Jahre,männlich_70 bis unter 75 Jahre,männlich_75 bis unter 80 Jahre,männlich_80 bis unter 85 Jahre,männlich_85 bis unter 90 Jahre,männlich_90 bis unter 95 Jahre,männlich_95 Jahre und mehr,männlich_Insgesamt,weiblich_unter 1 Jahr,weiblich_1 bis unter 5 Jahre,weiblich_5 bis unter 10 Jahre,weiblich_10 bis unter 15 Jahre,weiblich_15 bis unter 18 Jahre,weiblich_18 bis unter 20 Jahre,weiblich_20 bis unter 25 Jahre,weiblich_25 bis unter 30 Jahre,weiblich_30 bis unter 35 Jahre,weiblich_35 bis unter 40 Jahre,weiblich_40 bis unter 45 Jahre,weiblich_45 bis unter 50 Jahre,weiblich_50 bis unter 55 Jahre,weiblich_55 bis unter 60 Jahre,weiblich_60 bis unter 65 Jahre,weiblich_65 bis unter 70 Jahre,weiblich_70 bis unter 75 Jahre,weiblich_75 bis unter 80 Jahre,weiblich_80 bis unter 85 Jahre,weiblich_85 bis unter 90 Jahre,weiblich_90 bis unter 95 Jahre,weiblich_95 Jahre und mehr,weiblich_Insgesamt,Insgesamt_unter 1 Jahr,Insgesamt_1 bis unter 5 Jahre,Insgesamt_5 bis unter 10 Jahre,Insgesamt_10 bis unter 15 Jahre,Insgesamt_15 bis unter 18 Jahre,Insgesamt_18 bis unter 20 Jahre,Insgesamt_20 bis unter 25 Jahre,Insgesamt_25 bis unter 30 Jahre,Insgesamt_30 bis unter 35 Jahre,Insgesamt_35 bis unter 40 Jahre,Insgesamt_40 bis unter 45 Jahre,Insgesamt_45 bis unter 50 Jahre,Insgesamt_50 bis unter 55 Jahre,Insgesamt_55 bis unter 60 Jahre,Insgesamt_60 bis unter 65 Jahre,Insgesamt_65 bis unter 70 Jahre,Insgesamt_70 bis unter 75 Jahre,Insgesamt_75 bis unter 80 Jahre,Insgesamt_80 bis unter 85 Jahre,Insgesamt_85 bis unter 90 Jahre,Insgesamt_90 bis unter 95 Jahre,Insgesamt_95 Jahre und mehr,Insgesamt_Insgesamt
1,0.2907042155450744,0.18454288107801214,0.20162746733976153,0.18328419483053268,0.16849068886280053,0.14576983335707164,0.1506855581370153,0.16182371924844552,0.16312242350156703,0.16539376096925776,0.1656541004501913,0.16790069069395686,0.17128343866467147,0.17168595333380865,0.17298909948427446,0.1741975886310272,0.17411008881834153,0.17249034666920118,0.1648810904771732,0.14780678526325294,0.1205687607936997,0.09990626193424448,5375846,0.3089232212012179,0.19878724994700495,0.2088981378493775,0.22423946905052147,0.2346296275946947,0.186574425827435,0.1562070629491699,0.10682110399002193,0.09476732124011149,0.12163300907720055,0.16071923622901996,0.16892079601711632,0.16566951184768125,0.166702739697981,0.16804646262254427,0.1707380955372794,0.16983280482209995,0.16530858463844708,0.15287068784680308,0.1314039259288846,0.10269266968466577,0.07782439843094396,4689098,0.29916752233276245,0.19046558718539291,0.20470965445701475,0.20261086993204375,0.2017681354132975,0.16684798700002065,0.15381388519890932,0.12565588917055107,0.1163814283981356,0.13891721340435334,0.16311362844356406,0.16838799331105275,0.16876244241349833,0.16962275175363972,0.17098231388995797,0.17274943812079782,0.17224575445180457,0.1690858008615263,0.1586647354428596,0.13838173302107729,0.10898145323730125,0.08339365353632054,10064944
1-100,0.00042694166840741597,0.0029538930643067283,0.0021967112697624806,0.0016314951176177267,0.0010293160334054782,0.0005412334425295542,0.00050799918142312,0.0005132299270072993,0.0004584053994304069,0.00037083168204721733,0.00038037680930009485,0.00034822601239172776,0.0003243767852438241,0.0002886369687469539,0.00025982398620720976,0.00023070431255910737,0.00023352714042393816,0.00023350456023258932,0.00022158960910258077,0.000187176638593841,0.00022572716393524854,0.00025459721563226905,10035,0.0003886411184415491,0.0030123506376142184,0.002281941803308098,0.001516998510090749,0.0008296429788028966,0.0005265192412791085,0.0005230722760642863,0.00046744750564511607,0.0004194441688240229,0.0004536752313651282,0.00047095499206724746,0.00037374510583781863,0.0003545297402542649,0.00033733159012846873,0.00030245058319893484,0.0002846924222338106,0.0002632938128118048,0.0002379098045201561,0.00022494998968564483,0.00021397706328911683,0.00020709852055817427,0.00021857496926289496,10123,0.0004091498464706901,0.0029781993027673593,0.0022328422499992397,0.0015774645006570638,0.0009288516242463447,0.0005336326266430721,0.0005165391667127551,0.00048312497965884724,0.00043176383751698783,0.00042095447654059276,0.00042700652947434063,0.0003604164409091278,0.00033791730492303633,0.0003087980188487889,0.0002771310316509214,0.0002533038398462227,0.0002465015022757371,0.0002355928856194226,0.00022332887791792574,0.00020257611241217797,0.00021365205093364055,0.00022766012095173607,20158
1-202,9.161838377841545e-06,1.588114550702542e-05,1.584166781078712e-05,3.872985442415968e-05,2.225548180336169e-05,4.9850448654037884e-05,4.092884400091488e-05,3.5904974317383074e-05,3.901322548343889e-05,5.3784747777840685e-05,4.961436643044715e-05,4.295701465199791e-05,3.228147782522808e-05,2.8588148455843882e-05,2.0939276981511797e-05,1.5549923027881012e-05,1.56056322956331e-05,1.085385518669071e-05,1.2280869902070742e-05,5.5051952527600295e-06,8.95742714028764e-06,0.0,646,9.504809961885713e-06,2.7892135533464985e-05,2.152775286139715e-05,2.7089259108763377e-05,3.846027054053163e-05,6.664800522520361e-06,1.2892626522711283e-05,1.3198517806450336e-05,9.771996764717379e-06,2.125158924928299e-05,2.1154006735881094e-05,3.5975464733052057e-05,3.641116251260018e-05,3.022335056064315e-05,2.5887353768810397e-05,1.7277884935569197e-05,1.4427058236263277e-05,8.136450222987555e-06,1.0451216334952526e-05,6.113630379689052e-06,9.72293523747297e-07,3.903124451123124e-06,487,9.321159571874234e-06,2.0875228757715135e-05,1.8252116485007408e-05,3.32366912618182e-05,3.0408832936636287e-05,2.7542329117061784e-05,2.5044323234557826e-05,2.0973988637884087e-05,1.901816903348637e-05,3.4101225855214025e-05,3.496295073548292e-05,3.962193986153326e-05,3.4135958646724385e-05,2.9265171720963653e-05,2.2948271268186287e-05,1.627325122957563e-05,1.5091928710759414e-05,9.565657438378652e-06,1.133387615731111e-05,5.85480093676815e-06,3.7814522289139922e-06,2.9187194993812315e-06,1133
1-203,0.0,1.9851431883781776e-05,5.28055593692904e-06,1.4523695409059882e-05,3.8947093155882956e-05,2.1364477994587664e-05,1.9260632471018766e-05,2.5344687753446878e-05,2.763436805076921e-05,2.547698578950348e-05,2.3625888776403407e-05,1.0967748421786702e-05,1.4058062923889647e-05,1.5499598560397287e-05,1.3271372734760998e-05,1.1309034929368008e-05,6.966800131979061e-06,4.40021156217191e-06,4.0046314898056765e-06,0.0,0.0,0.0,318,2.112179991530158e-06,2.231370842677199e-05,5.740734096372573e-05,6.501422186103211e-05,1.098864872586618e-05,1.3329601045040722e-05,1.1050822733752527e-05,9.898888354837751e-06,9.771996764717379e-06,1.570769640164395e-05,2.0040637960308402e-05,2.6981598549789042e-05,1.9163769743473777e-05,2.1936302826273255e-05,1.553241226128624e-05,1.452913051400137e-05,7.57420557403822e-06,6.509160178390044e-06,9.953539366621454e-07,8.151507172918737e-07,9.72293523747297e-07,0.0,316,9.811746917762352e-07,2.0875228757715135e-05,2.737817472751111e-05,3.8350028379021e-05,2.4879954220884234e-05,1.7213955698163615e-05,1.4609188553492066e-05,1.5188060737778132e-05,1.5420137054178138e-05,1.956627713004083e-05,2.178019881882543e-05,1.8617538007226468e-05,1.6350837334985627e-05,1.8164589344046405e-05,1.4189389104756407e-05,1.2656973178558825e-05,7.2315491739055524e-06,5.3999679087621425e-06,2.4470868976012626e-06,4.68384074941452e-07,6.30242038152332e-07,0.0,634
1-204,0.00262211814373825,0.01401908119632669,0.015598762237688383,0.012466171892776398,0.009848050697987549,0.009015809713715996,0.009495491808212252,0.009658438091376047,0.00906732382277592,0.007936081073430334,0.006637693451730538,0.0053815085589566745,0.004438703200968861,0.003786724146066839,0.0032001703454420357,0.002869102161580664,0.0028168166293617743,0.002878618403972863,0.00240091006585483,0.0017583593637315535,0.0010014403542841584,0.0005670574348173265,119401,0.0022082841811447806,0.016322477714183707,0.01680599906713071,0.014487335771366653,0.01310396360559542,0.014442622732301623,0.012329034563289903,0.00807089363864438,0.00612929704765427,0.007347505987404275,0.00893923789907312,0.007987552489202365,0.006301047491654178,0.005186716934923277,0.0040285037023230445,0.0035674905599919577,0.0032129058692158315,0.002952555056917724,0.002358739991405119,0.0015952499537401968,0.0009032606835612389,0.0004059249429168049,132077,0.0024298791241838466,0.014976816898729626,0.016110534817433204,0.013419953264098748,0.011486245531974889,0.011819101982359139,0.011100896273717758,0.008614523402270254,0.007058310734265806,0.007579975760177818,0.007822530354719196,0.006626411412264375,0.005275009609702644,0.004366363620767776,0.0035364862623064484,0.0031614488979639205,0.0029894595454562603,0.0029136683987706588,0.0023790836406573958,0.0016646370023419203,0.0009378001527706701,0.0004465640834053284,251478
1-205,3.939590502471864e-05,7.94057275351271e-05,0.00021650279341409065,0.0003534099216204571,0.0006621005836500103,0.0008830650904429569,0.0010280362581406267,0.001066588942957556,0.001191528928306696,0.0012370491988903357,0.0013147807104068497,0.0012229039490292172,0.001226696157358667,0.0011452481158515772,0.0010404756224052622,0.0009522207410527863,0.000953615602065294,0.0009111371408070633,0.0008249540868999693,0.0006253901807135394,0.00034038223133093034,0.0002083068127900383,28949,4.329968982636824e-05,0.0001338822505606319,0.00022962936385490293,0.0005201137748882569,0.0007087678428183686,0.0008997480705402487,0.0008969584452229135,0.0006632255197741294,0.0005893265741183404,0.0008620753378078709,0.0012981879923177554,0.0013990458507298024,0.0013510457669149013,0.0012937543933539827,0.0010570669455597578,0.0009860174789366875,0.0009500217848579368,0.0009428518518397979,0.0007626899539673688,0.0004854222521473108,0.00029168805712418913,0.0001483187291426787,25685,4.120933705460188e-05,0.00010205667392660734,0.0002220674172342568,0.0004320769864036366,0.0006855809607532544,0.0008916829051648752,0.0009537713098494105,0.0008013510141646747,0.0007797449303729412,0.0010101789363995367,0.0013062387660027145,0.0013070466426611813,0.0012825367320126446,0.0012067342187561494,0.0010472119514596764,0.0009663681209967185,0.0009520491695037397,0.000926171638751404,0.0007927273607755669,0.0005449648711943794,0.0003088185986946427,0.00016344829196534896,54634
1-206,3.939590502471864e-05,0.00048437493796427535,0.0007762417227285688,0.0012635615005882096,0.0017025443579571694,0.0022005412334425295,0.002373872952053063,0.0025957184374155178,0.0029601284835559256,0.0029284379776934833,0.002884721019598856,0.0026706467407050616,0.0025570054451563725,0.002502668514218815,0.002289754175837431,0.002193952776297394,0.002351434380545573,0.002465878559441138,0.00231387607480972,0.0019449854828001184,0.0013418225856150887,0.0008216546504495956,70222,4.54118698178984e-05,0.0007196170967633966,0.0009328692906605432,0.002503047541649736,0.002911991912354538,0.002812545820503592,0.0026982425508245756,0.0018587912577417555,0.0016634945261784276,0.002381101978060968,0.003278871044061569,0.003204814316636054,0.0031192229219127485,0.0028907172391066755,0.0024325483424758837,0.0023537191432682217,0.002430237959898549,0.002450373349154932,0.002270153491042188,0.0016922528890979298,0.0011220267264043808,0.0006791436544954236,67128,4.219051174637812e-05,0.0005821869353540554,0.0008426393777245086,0.0018484713678688122,0.002311071303184358,0.0025166803230715204,0.002557651510329218,0.0021111404425511603,0.002073494429218487,0.002597283529890563,0.0030876297641319102,0.002925817703751052,0.002809475453664022,0.002663332455378182,0.0023477307750857453,0.002260831286985689,0.002385782397025884,0.0024585282464607066,0.002291246100438235,0.0017997658079625292,0.0011993505986038879,0.0007150862773484017,137350
1-207,0.008665266737762533,0.05919696987743726,0.06785514378953816,0.050532777559922346,0.03594816698287997,0.01677823671841618,0.013571523154891598,0.01036808934847256,0.009598879019987776,0.00863669818264168,0.0074374297868117925,0.006741509363258225,0.0062355319102408305,0.005784105747216703,0.005458663065504252,0.005564327911122295,0.005911469247986873,0.006686561489876433,0.007120501764307147,0.007407790732113896,0.007113988634816444,0.005936744164516092,248276,0.008479346575997821,0.064687440729212,0.06722399626852284,0.06576188541243397,0.054701493357361845,0.018934698284480345,0.011839114755426875,0.005859042029580078,0.004371089322063966,0.00527870997309364,0.006676872547109416,0.006824345796167014,0.006292104399107224,0.006113891334380426,0.005822928774397752,0.005925136495290991,0.006521751675702814,0.007234931538280534,0.007873498477481734,0.008257884341525327,0.008127401565003656,0.006670439686969419,243296,0.008578900917545512,0.061479868161333044,0.06758758734398243,0.05771934937898521,0.045383800938250715,0.01789218555267126,0.01258998999270584,0.007403094748185569,0.006024133542498926,0.006605016122612355,0.007045894317890026,0.006781080189555179,0.006260936415322742,0.005920646982306681,0.005606560472811466,0.005715363083357017,0.00617747227801345,0.00694651871783162,0.007510238482785516,0.007896252927400468,0.007770884330418254,0.006485394727625097,491572
1-208,0.23393471640445485,0.009540598163345522,0.005671317076261789,0.004536234199429703,0.005441465300921934,0.007584389688078621,0.009160838319028301,0.010699682346580157,0.010336879202049495,0.008631036630244013,0.007497675803191621,0.005900648650921245,0.0047318398463818195,0.0038311563286066446,0.00314089154722677,0.002625109732979549,0.0026914142269861513,0.0026195926166796765,0.0022273760346299175,0.0017220250750633373,0.0010390615482733664,0.0005670574348173265,366758,0.25200208260947166,0.008423424931106425,0.0060708263069139965,0.007769199512393336,0.011571047108337089,0.01622878927233708,0.015472993631042499,0.010897576202192494,0.008568537778539493,0.010201686821797108,0.012157987029253765,0.010422891587937027,0.00809413754731854,0.006303518485478655,0.004466862892808234,0.003597726858629204,0.0031432953132258614,0.002823022769367762,0.0022375556496165025,0.0014599349346697459,0.0008604797685163579,0.0005620499209617298,385157,0.24232758185081926,0.009076085569882148,0.00584067727520237,0.0060618611524439195,0.008525530979689664,0.012049768988714531,0.012737125391708869,0.010829810547023321,0.009127693126936513,0.009581326392336281,0.009896807710648912,0.008060916584359645,0.006241717010034251,0.004854789245352135,0.0036792560415703553,0.0030322491457775926,0.0028883750646123197,0.002716029573309964,0.0022326448089430464,0.0015714285714285715,0.0009233045858931665,0.0005633128633805777,751915
1-209,9.161838377841544e-07,0.0,0.0,0.0,0.0,0.0,2.407579058877346e-06,0.0,0.0,1.41538809941686e-06,1.1812944388201703e-06,4.569895175744459e-06,2.082675988724392e-06,0.0,0.0,2.827258732342002e-07,2.786720052791625e-07,5.866948749562545e-07,0.0,0.0,1.7914854280575281e-06,0.0,18,1.056089995765079e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.516920588244137e-07,9.239821412731735e-07,0.0,9.993184648070017e-07,0.0,9.749467922788114e-07,0.0,3.926792030811181e-07,3.6067645590658193e-07,0.0,2.4883848416553634e-07,0.0,0.0,0.0,9,9.811746917762352e-07,0.0,0.0,0.0,0.0,0.0,1.0435134681065762e-06,0.0,5.140045684726046e-07,1.118072978859476e-06,5.731631268111954e-07,2.86423661649638e-06,1.1474271814025001e-06,4.03657540978809e-07,0.0,3.28752550092437e-07,3.1441518147415445e-07,3.085695947864081e-07,1.2879404724217172e-07,0.0,6.30242038152332e-07,0.0,27
