OPS_Code_ ,männlich_unter 1 Jahr,männlich_1 bis unter 5 Jahre,männlich_5 bis unter 10 Jahre,männlich_10 bis unter 15 Jahre,männlich_15 bis unter 18 Jahre,männlich_18 bis unter 20 Jahre,männlich_20 bis unter 25 Jahre,männlich_25 bis unter 30 Jahre,männlich_30 bis unter 35 Jahre,männlich_35 bis unter 40 Jahre,männlich_40 bis unter 45 Jahre,männlich_45 bis unter 50 Jahre,männlich_50 bis unter 55 Jahre,männlich_55 bis unter 60 Jahre,männlich_60 bis unter 65 Jahre,männlich_65 bis unter 70 Jahre,männlich_70 bis unter 75 Jahre,männlich_75 bis unter 80 Jahre,männlich_80 bis unter 85 Jahre,männlich_85 bis unter 90 Jahre,männlich_90 bis unter 95 Jahre,männlich_95 Jahre und mehr,männlich_Insgesamt,weiblich_unter 1 Jahr,weiblich_1 bis unter 5 Jahre,weiblich_5 bis unter 10 Jahre,weiblich_10 bis unter 15 Jahre,weiblich_15 bis unter 18 Jahre,weiblich_18 bis unter 20 Jahre,weiblich_20 bis unter 25 Jahre,weiblich_25 bis unter 30 Jahre,weiblich_30 bis unter 35 Jahre,weiblich_35 bis unter 40 Jahre,weiblich_40 bis unter 45 Jahre,weiblich_45 bis unter 50 Jahre,weiblich_50 bis unter 55 Jahre,weiblich_55 bis unter 60 Jahre,weiblich_60 bis unter 65 Jahre,weiblich_65 bis unter 70 Jahre,weiblich_70 bis unter 75 Jahre,weiblich_75 bis unter 80 Jahre,weiblich_80 bis unter 85 Jahre,weiblich_85 bis unter 90 Jahre,weiblich_90 bis unter 95 Jahre,weiblich_95 Jahre und mehr,weiblich_Insgesamt,Insgesamt_unter 1 Jahr,Insgesamt_1 bis unter 5 Jahre,Insgesamt_5 bis unter 10 Jahre,Insgesamt_10 bis unter 15 Jahre,Insgesamt_15 bis unter 18 Jahre,Insgesamt_18 bis unter 20 Jahre,Insgesamt_20 bis unter 25 Jahre,Insgesamt_25 bis unter 30 Jahre,Insgesamt_30 bis unter 35 Jahre,Insgesamt_35 bis unter 40 Jahre,Insgesamt_40 bis unter 45 Jahre,Insgesamt_45 bis unter 50 Jahre,Insgesamt_50 bis unter 55 Jahre,Insgesamt_55 bis unter 60 Jahre,Insgesamt_60 bis unter 65 Jahre,Insgesamt_65 bis unter 70 Jahre,Insgesamt_70 bis unter 75 Jahre,Insgesamt_75 bis unter 80 Jahre,Insgesamt_80 bis unter 85 Jahre,Insgesamt_85 bis unter 90 Jahre,Insgesamt_90 bis unter 95 Jahre,Insgesamt_95 Jahre und mehr,Insgesamt_Insgesamt
1,0.6447803716287615,0.3028591162020929,0.3886152217721416,0.3594254357650097,0.34591748149501966,0.32558176525791727,0.34138598740011455,0.39503900429485495,0.4216663445134506,0.4532720974705296,0.4965810059031208,0.5666382889468782,0.6417547946087353,0.7020714697195269,0.7609294650594407,0.8072045445017398,0.810160181642066,0.7980096140013734,0.7371195728067736,0.6183791403045302,0.44490939981093286,0.3271562831590117,5375846,0.6552484207696788,0.3113178700912943,0.3998708808944932,0.37289403030794455,0.35061043194114894,0.3216591979777088,0.3021327985009494,0.2279070640606557,0.21434109054309536,0.2966414883452615,0.4570464252582787,0.5402409792578862,0.5656296890812018,0.6066384255957766,0.6592591338789259,0.7076457108632958,0.7141440169378163,0.7006793993695726,0.634085595883801,0.5149985064589659,0.3591224842997181,0.24977764415548623,4689098,0.6497596225562692,0.3064727419300662,0.3934056297682032,0.3663359928996052,0.3486479127556212,0.3233043582679004,0.31764092352913287,0.2801824233667045,0.27406202377969585,0.3541975201298803,0.4757085020242915,0.5536739037621177,0.6058118461158251,0.6598338067579599,0.7168164729918988,0.7628036512180889,0.7659051826582969,0.7497419184031163,0.6818667888787046,0.557335083936518,0.3882588302389233,0.2690015534529021,10064944
1-100,0.0009469543023425943,0.0048477266507682085,0.004233924318602805,0.003199407587437816,0.002113223064973042,0.0012088628735942993,0.0011508986281942891,0.0012528808525776865,0.001184963568673261,0.0010162877568356988,0.0011402548930037218,0.0011752077434160606,0.0012153560134762107,0.0011803166009135481,0.0011428912424174809,0.0010690479185008176,0.0010866365745273196,0.001080285868612267,0.0009906414224178574,0.0007830907671295348,0.0008329532157943795,0.0008337122934667273,10035,0.0008243358272478832,0.0047175992661512255,0.004368071867144682,0.002522658882462115,0.0012397474527705483,0.0009077329656440308,0.0010117166765819651,0.0009973178017707671,0.0009486827251336317,0.0011064339925366407,0.0013392814739061744,0.0011953082552973889,0.001210437240464808,0.0012275641366782683,0.0011865367851792922,0.0011799438834964096,0.0011071459445850705,0.001008407998289431,0.0009330601586408699,0.0008386192971891078,0.0007242360669561344,0.0007015170305786262,10123,0.000888629379749479,0.004792135523384053,0.004291017508988337,0.002852176807226131,0.001605021424169903,0.0010340295799171441,0.001066704593941118,0.0010772525544431829,0.0010167435881607472,0.0010733085412838936,0.0012453320941303904,0.0011850796122356722,0.0012130323749897027,0.0012012266644055342,0.0011618282858920116,0.001118504905162978,0.0010960895885469822,0.0010446404199906003,0.000959763014917839,0.0008158791781974447,0.0007611597469985832,0.0007343595537353481,20158
1-202,2.0320907775592152e-05,2.6063046509506496e-05,3.053310806684715e-05,7.59503284851707e-05,4.569130951293064e-05,0.00011134263309421177,9.272642975972945e-05,8.765010079761592e-05,0.00010084796329134137,0.00014740051435021585,0.00014872889908744196,0.0001449731337022437,0.00012095035768142065,0.00011690486620026789,9.21058776522601e-05,7.205592587934432e-05,7.261533194931968e-05,5.0214292887756126e-05,5.4903018591833056e-05,2.3032081386162785e-05,3.3053699039459506e-05,0.0,646,2.0160387079431926e-05,4.368147468658542e-05,4.120822516174228e-05,4.504748004396634e-05,5.747173622115124e-05,1.149029070435482e-05,2.4936678648147027e-05,2.8159561461762834e-05,2.210192728805952e-05,5.1828883560779506e-05,6.015685107379979e-05,0.00011505640960081818,0.00012431517604773702,0.000109984070049209,0.00010155807005814199,7.16103874121959e-05,6.066553121014085e-05,3.44872776432774e-05,4.335014011384573e-05,2.3960551348260224e-05,3.4001693284325558e-06,1.2527089831761183e-05,487,2.024455421491619e-05,3.358973497699103e-05,3.507643740317442e-05,6.0094487024213456e-05,5.254534424365754e-05,5.3369268640884864e-05,5.171901061532693e-05,4.676695221385076e-05,4.478513424041386e-05,8.694796947983733e-05,0.00010196678891537425,0.0001302802752523984,0.0001225389241288409,0.00011384174270509963,9.62070198810705e-05,7.185722622396809e-05,6.710752582940708e-05,4.241500068069235e-05,4.870769625880613e-05,2.358032306929031e-05,1.3471853929178464e-05,9.414866073530104e-06,1133
1-203,0.0,3.257880813688312e-05,1.017770268894905e-05,2.8481373181939012e-05,7.995979164762862e-05,4.771827132609076e-05,4.363596694575504e-05,6.187065938655241e-05,7.143397399803346e-05,6.982129627115489e-05,7.082328527973427e-05,3.701441711546648e-05,5.267192995803803e-05,6.338215637363921e-05,5.837696470917893e-05,5.240430973043223e-05,3.241755890594629e-05,2.0357145765306538e-05,1.7903158236467303e-05,0.0,0.0,0.0,318,4.480086017651539e-06,3.494517974926834e-05,0.00010988860043131276,0.00010811395210551922,1.6420496063186068e-05,2.298058140870964e-05,2.1374295984126022e-05,2.1119671096322128e-05,2.210192728805952e-05,3.8308305240576155e-05,5.699070101728401e-05,8.629230720061363e-05,6.542904002512475e-05,7.982714761636137e-05,6.0934842034885194e-05,6.021782577843746e-05,3.184940388532395e-05,2.7589822114621916e-05,4.128584772747212e-06,3.19474017976803e-06,3.4001693284325558e-06,0.0,316,2.131005706833283e-06,3.358973497699103e-05,5.261465610476163e-05,6.933979272024629e-05,4.2991645290265255e-05,3.335579290055304e-05,3.016942285894071e-05,3.386572401692641e-05,3.631227100574097e-05,4.9888179209742736e-05,6.352029473416756e-05,6.121603294992215e-05,5.8695114918856576e-05,7.066039202385495e-05,5.9486783285242066e-05,5.588895372975296e-05,3.2155689459924224e-05,2.3943951997165037e-05,1.051643441951496e-05,1.8864258455432246e-06,2.2453089881964108e-06,0.0,634
1-204,0.005815843805374474,0.02300715430626686,0.030064933743155494,0.024446511981164317,0.02021840445947181,0.0201371104996103,0.021512531704257234,0.023577877114558683,0.023438747468295922,0.021749333788464748,0.019897801999341342,0.01816174066465555,0.01663067418119534,0.015484965048261991,0.014076632090206681,0.013294973378610657,0.013107067416852204,0.013317644759663537,0.010733540134703363,0.007356446794740394,0.0036954035526115727,0.0018569046536304381,119401,0.004683929931454684,0.025562398986589786,0.03216988777626681,0.0240913923275132,0.019581441555349386,0.024899459956336894,0.0238465895529566,0.017219571833867974,0.0138630088543721,0.017919273133709505,0.025421018803765186,0.025545718942759435,0.02151306836026102,0.018874685569735223,0.015804128335547864,0.01478591749181363,0.013510213800498367,0.0125147433111925,0.009783713765217705,0.0062521065318060344,0.0031587573061138447,0.0013028173425031632,132077,0.005277435632972625,0.024098768749603455,0.030960802081201954,0.024264304799238186,0.019847809575672462,0.022902087405519717,0.02292445145524366,0.019208316131695737,0.016621336848361166,0.019326680625854336,0.02281381532978734,0.021788198804560753,0.018935867863909713,0.016985188011600868,0.01482616272793169,0.013959899312783618,0.013292882408041719,0.01291947238475605,0.010224188241962123,0.0067043574550606205,0.0033410197744362592,0.001440474509250106,251478
1-205,8.737990343504625e-05,0.0001303152325475325,0.00041728581024691106,0.0006930467474271827,0.0013593164580096866,0.0019723552148117516,0.002329069735729675,0.002603723582517414,0.003080064878856384,0.003390211830054965,0.003941315825817212,0.004127107508374512,0.004596113591893985,0.0046832371098300095,0.0045767540331996285,0.004412442879302394,0.004437315463045928,0.004215286316469473,0.003688050596712264,0.0026164444454680924,0.0012560405634994612,0.0006821282401091405,28949,9.184176336185655e-05,0.00020967107849561,0.00043955440172525103,0.0008649116168441538,0.0010591219960755015,0.0015511892450879006,0.0017348803573782288,0.0014150179634535825,0.0013329162302952817,0.002102449928791621,0.003691730965897398,0.004474415928920707,0.004612747321771295,0.004708027772751624,0.004146954527374132,0.004086674608909634,0.003994825230187775,0.003996385733302984,0.003163528082117551,0.0019024677770518618,0.0010200507985297668,0.00047602941360692496,25685,8.950223968699788e-05,0.00016421648210973393,0.0004267633217386221,0.0007812283313147749,0.0011846586702206428,0.0017278300722486475,0.0019696323209337004,0.001786820105274022,0.0018361905038569684,0.0025756554237715747,0.0038095460973465232,0.004297679441458637,0.004603962435126452,0.004694205376784764,0.004390271487397248,0.004267157908795034,0.004233366421071763,0.004106729823970906,0.0034067712553744515,0.002194856471289542,0.0011002014042162413,0.0005272325001176859,54634
1-206,8.737990343504625e-05,0.0007949229185399481,0.0014961222952755103,0.002477879466828694,0.003495385177739194,0.004914981946587348,0.0053781329260643084,0.00633658669883941,0.007651839214730526,0.008025570110278858,0.008647523132655554,0.009013010567616086,0.009580438815700917,0.010234105515796945,0.010071972311157005,0.010166436087703852,0.010941574481934991,0.011408144486877783,0.010344444829030807,0.008137234353731312,0.004951444116111034,0.0026906169470971653,70222,9.632184937950808e-05,0.0011269820469139039,0.0017856897570088324,0.00416238715606249,0.004351431456744308,0.004848902677237734,0.005218890602790771,0.003965804905864932,0.0037624280837289014,0.005807088388527339,0.009324311916438968,0.01024960848860622,0.010649666748089473,0.010519444119222732,0.00954307331646341,0.00975528777610687,0.010219108732348227,0.01038618853504942,0.009416269720443203,0.00663228061319843,0.0039237954050111695,0.002179713630726446,67128,9.163324539383116e-05,0.0009367803865805277,0.0016193621934465522,0.0033421780091158716,0.0039934461625179725,0.004876616922060854,0.005281803959090263,0.004707335638352771,0.0048827900412386355,0.006622299445956136,0.009004837571920018,0.009620335024360842,0.010085262377461076,0.010360383701630999,0.009842492217145853,0.009983073631156131,0.010608581374865436,0.01090133928785214,0.009846703595956376,0.00724859131149984,0.00427282300453777,0.0023066421880148756,137350
1-207,0.019219514574155057,0.09715000586418547,0.1307834795529953,0.09909619109102646,0.07380288769076122,0.03747474908142328,0.030746993209152643,0.02531025557738215,0.02481280096814045,0.023669419435921504,0.02229517020606035,0.022751528386973394,0.023362927154720867,0.023652812266278297,0.02401109421782651,0.02578423049511592,0.027506947082873545,0.030934718704959816,0.031833008888321294,0.030991968713220644,0.02625124777713874,0.019440654843110503,248276,0.0179853053178621,0.1013060760931289,0.12867955110506724,0.10935726255473269,0.08174122940254025,0.032643915891072045,0.022898995764327013,0.012500498658900886,0.009886362090774316,0.012873843990553623,0.018987401888925122,0.02182556169899965,0.021482534808249295,0.022248713008986763,0.022843795225078074,0.024557480355968726,0.02742385338354417,0.03066608728040226,0.032658137698623635,0.03236431539114003,0.028422015416367734,0.021408796522479862,243296,0.01863244839769681,0.09892550170001381,0.12988804770395487,0.10436101069681869,0.07842153785892053,0.03467001114083483,0.025999577628079976,0.016507121477964702,0.014185993872909473,0.016840823924660298,0.020548815346503206,0.022296762770606257,0.02247508031963094,0.023031362222442054,0.02350462344498978,0.025237128846539093,0.027468648202776575,0.0308014998491531,0.03227549073003981,0.031802310117090456,0.027684659824461742,0.02091983241538389,491572
1-208,0.5188659307788598,0.015657375190586027,0.010930852687931281,0.008895682223825618,0.011171525175911542,0.01693998632076222,0.02075435677857474,0.026119730037689543,0.02672050827373499,0.023653903592305695,0.02247576958352367,0.019913756408120962,0.017728981461431467,0.015666660563199757,0.013815881647839014,0.012164350396176582,0.01252355135654517,0.012119287445612493,0.009957736611123112,0.007204435057591719,0.003834229088577303,0.0018569046536304381,366758,0.5345145826799874,0.013191805355348796,0.011620719495611324,0.012919617276609547,0.01729078235453493,0.027978857865103988,0.029927576760440455,0.023250411246928848,0.019379989935122344,0.024880117538894197,0.0345743586171523,0.033334398670459266,0.027635045538611857,0.022938774351714864,0.017523844988532402,0.014911235669784974,0.013217502612409438,0.011965705851111525,0.009281058569135732,0.005721779661964542,0.003009149855662812,0.0018039009357736105,385157,0.5263093964565637,0.014604070329440656,0.011224459969015813,0.01096030990264693,0.014731803786130895,0.023349055030387127,0.026303426815445022,0.024147873877593148,0.021494443617331604,0.02442952867073659,0.028863287609865035,0.026504972625445777,0.02240608781612983,0.01888516744157563,0.015424702584443692,0.013389396486399387,0.01284340179233017,0.01204312374165981,0.009594862666436412,0.0063289587117975185,0.0032893776677077415,0.00181706915219131,751915
1-209,2.0320907775592153e-06,0.0,0.0,0.0,0.0,0.0,5.45449586821938e-06,0.0,0.0,3.878960903953049e-06,3.5411642639867135e-06,1.542267379811103e-05,7.8032488826723e-06,0.0,0.0,1.3101077432608057e-06,1.2967023562378516e-06,2.7142861020408717e-06,0.0,0.0,6.610739807891901e-06,0.0,18,2.2400430088257693e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7001482529276554e-06,2.2534297200338916e-06,0.0,3.196011377800505e-06,0.0,3.547873227393839e-06,0.0,1.627508804822634e-06,1.5166382802535212e-06,0.0,1.032146193186803e-06,0.0,0.0,0.0,9,2.131005706833283e-06,0.0,0.0,0.0,0.0,0.0,2.154958775638622e-06,0.0,1.210409033524699e-06,2.8507530976995847e-06,1.6715867035307254e-06,9.417851223064945e-06,4.118955432902216e-06,1.5702309338634433e-06,0.0,1.451661135837739e-06,1.3980734547793142e-06,1.3682258284094307e-06,5.534965483955242e-07,0.0,2.2453089881964108e-06,0.0,27
