Jahr;OPS_Code;Beschreibung;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt;Insgesamt
 ; ; ;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 bis unter 95 Jahre;95 Jahre und mehr;Insgesamt;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 bis unter 95 Jahre;95 Jahre und mehr;Insgesamt;unter 1 Jahr;1 bis unter 5 Jahre;5 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 70 Jahre;70 bis unter 75 Jahre;75 bis unter 80 Jahre;80 bis unter 85 Jahre;85 bis unter 90 Jahre;90 bis unter 95 Jahre;95 Jahre und mehr;Insgesamt
2021;OPS-1;Diagnostische Maßnahmen;317299;46481;38183;37859;30283;20469;62588;76619;100349;116854;140231;183703;328968;498456;586564;616136;624785;588007;617589;268486;67301;8633;5375846;292516;35635;29111;41389;42704;27994;84812;97121;126072;131640;144354;169036;259348;341973;389487;434803;470873;507926;614337;322404;105619;19939;4689098;609815;82116;67294;79248;72987;48463;147400;173740;226421;248494;284585;352739;588316;840429;976051;1050939;1095658;1095933;1231926;590890;172920;28572;10064944
2021;OPS-1-10--1-10;  Klinische Untersuchung;466;744;416;337;185;76;211;243;282;262;322;381;623;838;881;816;838;796;830;340;126;22;10035;368;540;318;280;151;79;284;425;558;491;423;374;555;692;701;725;730;731;904;525;213;56;10123;834;1284;734;617;336;155;495;668;840;753;745;755;1178;1530;1582;1541;1568;1527;1734;865;339;78;20158
2021;OPS-1-100;    Klinische Untersuchung in Allgemeinanästhesie;466;744;416;337;185;76;211;243;282;262;322;381;623;838;881;816;838;796;830;340;126;22;10035;368;540;318;280;151;79;284;425;558;491;423;374;555;692;701;725;730;731;904;525;213;56;10123;834;1284;734;617;336;155;495;668;840;753;745;755;1178;1530;1582;1541;1568;1527;1734;865;339;78;20158
2021;OPS-1-20--1-33;  Untersuchung einzelner Körpersysteme;303951;26266;21618;18310;12975;7608;21316;24081;31735;35979;44372;59933;108806;164274;185952;191870;199084;193673;199612;80902;17077;1843;1951238;282683;20459;16282;20363;18390;10626;30217;31687;36718;38022;42215;48117;71318;93183;102898;119067;137859;156231;181861;84086;23699;3895;1569877;586634;46725;37900;38673;31365;18234;51533;55768;68453;74001;86587;108050;180124;257457;288850;310937;336943;349904;381473;164988;40776;5738;3521115
2021;OPS-1-202;    Diagn.z.Feststellung d.irrev.Hirnfunktionsausfalls;10;4;3;8;4;7;17;17;24;38;42;47;62;83;71;55;56;37;46;10;5;-;646;9;5;3;5;7;1;7;12;13;23;19;36;57;62;60;44;40;25;42;15;1;1;487;19;9;6;13;11;8;24;29;37;61;61;83;119;145;131;99;96;62;88;25;6;1;1133
2021;OPS-1-203;    Invasive Funktionsdiagnostik des Nervensystems;-;5;1;3;7;3;8;12;17;18;20;12;27;45;45;40;25;15;15;-;-;-;318;2;4;8;12;2;2;6;9;13;17;18;27;30;45;36;37;21;20;4;2;1;-;316;2;9;9;15;9;5;14;21;30;35;38;39;57;90;81;77;46;35;19;2;1;-;634
2021;OPS-1-204;    Untersuchung des Liquorsystems;2862;3531;2954;2575;1770;1266;3944;4573;5578;5607;5619;5888;8525;10994;10851;10148;10108;9813;8993;3194;559;49;119401;2091;2926;2342;2674;2385;2167;6694;7338;8154;7952;8029;7993;9864;10640;9337;9085;8908;9072;9479;3914;929;104;132077;4953;6457;5296;5249;4155;3433;10638;11911;13732;13559;13648;13881;18389;21634;20188;19233;19016;18885;18472;7108;1488;153;251478
2021;OPS-1-205;    Elektromyographie (EMG);43;20;41;73;119;124;427;505;733;874;1113;1338;2356;3325;3528;3368;3422;3106;3090;1136;190;18;28949;41;24;32;96;129;135;487;603;784;933;1166;1400;2115;2654;2450;2511;2634;2897;3065;1191;300;38;25685;84;44;73;169;248;259;914;1108;1517;1807;2279;2738;4471;5979;5978;5879;6056;6003;6155;2327;490;56;54634
2021;OPS-1-206;    Neurographie;43;122;147;261;306;309;986;1229;1821;2069;2442;2922;4911;7266;7764;7760;8438;8406;8667;3533;749;71;70222;43;129;130;462;530;422;1465;1690;2213;2577;2945;3207;4883;5930;5638;5994;6738;7529;9123;4152;1154;174;67128;86;251;277;723;836;731;2451;2919;4034;4646;5387;6129;9794;13196;13402;13754;15176;15935;17790;7685;1903;245;137350
2021;OPS-1-207;    Elektroenzephalographie (EEG);9458;14910;12850;10438;6461;2356;5637;4909;5905;6102;6296;7376;11976;16793;18509;19681;21213;22794;26671;13456;3971;513;248276;8029;11596;9368;12138;9956;2841;6428;5327;5815;5713;5997;6829;9850;12542;13496;15089;18082;22230;31641;20261;8359;1709;243296;17487;26506;22218;22576;16417;5197;12065;10236;11720;11815;12293;14205;21826;29335;32005;34770;39295;45024;58312;33717;12330;2222;491572
2021;OPS-1-208;    Registrierung evozierter Potentiale;255336;2403;1074;937;978;1065;3805;5066;6359;6098;6347;6456;9088;11123;10650;9285;9658;8930;8343;3128;580;49;366758;238618;1510;846;1434;2106;2435;8401;9908;11399;11041;10920;10430;12671;12931;10353;9162;8715;8674;8992;3582;885;144;385157;493954;3913;1920;2371;3084;3500;12206;14974;17758;17139;17267;16886;21759;24054;21003;18447;18373;17604;17335;6710;1465;193;751915
2021;OPS-1-209;    Komplexe Diagnostik bei Spina bifida;1;-;-;-;-;-;1;-;-;1;1;5;4;-;-;1;1;2;-;-;1;-;18;1;-;-;-;-;-;-;-;1;1;-;1;-;2;-;1;1;-;1;-;-;-;9;2;-;-;-;-;-;1;-;1;2;1;6;4;2;-;2;2;2;1;-;1;-;27
2021;OPS-1-20A;    Andere neurophysiologische Untersuchungen;-;3;41;70;71;68;247;338;448;534;634;860;1315;1699;1709;1657;1872;1736;1651;647;120;12;15732;-;3;23;117;142;94;377;400;602;684;838;991;1453;1798;1901;1857;2046;2059;2280;934;275;31;18905;-;6;64;187;213;162;624;738;1050;1218;1472;1851;2768;3497;3610;3514;3918;3795;3931;1581;395;43;34637
2021;OPS-1-20B;    Magnetenzephalographie (MEG);-;-;-;1;-;2;1;-;1;3;-;-;2;-;1;-;-;-;1;-;-;-;12;-;-;-;-;-;2;2;1;3;1;-;3;1;2;2;-;-;-;-;-;-;-;17;-;-;-;1;-;4;3;1;4;4;-;3;3;2;3;-;-;-;1;-;-;-;29
2021;OPS-1-20C;    Navigierte transkranielle Magnetstimulation (nTMS);-;-;2;1;16;30;127;156;162;203;223;183;307;364;376;306;308;265;209;112;18;4;3372;-;-;1;11;38;69;178;219;292;242;328;293;375;370;272;256;217;262;190;83;18;2;3716;-;-;3;12;54;99;305;375;454;445;551;476;682;734;648;562;525;527;399;195;36;6;7088
2021;OPS-1-20D;    Hochauflösende Elektroenzephalographie (hdEE);-;-;-;-;-;-;2;3;2;3;2;2;3;1;-;1;-;-;-;-;-;-;19;-;-;-;1;-;3;1;2;1;1;1;4;-;1;-;3;-;-;-;-;-;-;18;-;-;-;1;-;3;3;5;3;4;3;6;3;2;-;4;-;-;-;-;-;-;37
2021;OPS-1-210;    Nichtinvasive Diagnostik b. Verdacht auf Epilepsie;25;102;131;112;127;149;319;289;253;216;173;187;237;218;140;97;79;65;23;8;1;-;2951;12;83;113;139;153;223;481;386;323;253;232;170;221;219;138;83;58;51;28;7;1;-;3374;37;185;244;251;280;372;800;675;576;469;405;357;458;437;278;180;137;116;51;15;2;-;6325
2021;OPS-1-211;    Invasive Diagnostik bei Verdacht auf Epilepsie;-;4;-;6;3;7;9;16;12;11;6;6;6;4;3;2;1;-;-;-;-;-;96;1;1;4;3;4;4;16;14;10;4;9;3;4;4;5;1;-;1;-;1;-;-;89;1;5;4;9;7;11;25;30;22;15;15;9;10;8;8;3;1;1;-;1;-;-;185
2021;OPS-1-212;    Invasive intraoperative Epilepsiediagnostik;-;11;1;7;5;3;2;7;4;3;2;1;5;6;4;6;3;3;1;-;-;-;74;1;4;5;11;-;4;4;3;4;4;6;1;5;4;3;1;3;-;-;-;-;-;63;1;15;6;18;5;7;6;10;8;7;8;2;10;10;7;7;6;3;1;-;-;-;137
2021;OPS-1-213;    Syndromdiagnose bei komplizierten Epilepsien;3;35;34;29;24;19;77;47;42;35;29;27;32;39;18;14;11;8;2;-;-;-;525;4;17;28;24;34;35;65;71;57;39;45;41;39;50;28;20;8;5;4;1;-;-;615;7;52;62;53;58;54;142;118;99;74;74;68;71;89;46;34;19;13;6;1;-;-;1140
2021;OPS-1-220;    Messung des Augeninnendrucks;6;5;79;166;154;88;248;271;410;484;628;869;1582;2440;2785;3027;3327;3194;3298;1298;213;18;24590;2;9;62;127;149;87;222;257;297;358;501;738;1432;2186;2694;3449;3970;4185;4471;1917;437;68;27618;8;14;141;293;303;175;470;528;707;842;1129;1607;3014;4626;5479;6476;7297;7379;7769;3215;650;86;52208
2021;OPS-1-242;    Audiometrie;31499;1548;1364;862;498;270;769;1012;1276;1393;1424;1637;2369;2957;2882;2509;2171;1684;1437;561;149;14;60285;30235;878;949;739;518;245;795;826;1215;1331;1394;1569;2130;2460;2321;2278;1899;1775;1777;716;235;29;56314;61734;2426;2313;1601;1016;515;1564;1838;2491;2724;2818;3206;4499;5417;5203;4787;4070;3459;3214;1277;384;43;116599
2021;OPS-1-243;    Phoniatrie;132;205;287;64;25;8;12;27;56;68;74;91;183;279;307;353;260;289;232;92;32;1;3077;107;123;154;62;30;11;32;31;51;68;81;81;136;189;159;201;195;194;222;119;43;14;2303;239;328;441;126;55;19;44;58;107;136;155;172;319;468;466;554;455;483;454;211;75;15;5380
2021;OPS-1-245;    Rhinomanometrie;1;15;17;33;93;185;494;580;639;594;528;498;635;656;548;414;280;192;148;53;11;2;6616;2;3;13;50;112;157;435;384;373;306;278;268;375;377;377;253;175;131;92;24;5;1;4191;3;18;30;83;205;342;929;964;1012;900;806;766;1010;1033;925;667;455;323;240;77;16;3;10807
2021;OPS-1-247;    Olfaktometrie und Gustometrie;-;4;37;92;120;151;461;550;665;609;500;499;634;677;653;554;485;474;351;98;8;-;7622;-;1;29;68;100;131;388;327;390;314;311;324;421;483;443;403;323;309;268;67;13;-;5113;-;5;66;160;220;282;849;877;1055;923;811;823;1055;1160;1096;957;808;783;619;165;21;-;12735
2021;OPS-1-265;    Elektrophys. Untersuchung d.Herzens, kathetergest.;2;13;126;229;255;227;637;662;997;1280;1783;2820;5854;9614;11006;11403;10737;8463;5595;1105;100;4;72912;1;6;100;194;267;318;829;832;879;1066;1368;1730;2809;4296;5400;7009;8372;8593;5797;1188;107;5;51166;3;19;226;423;522;545;1466;1494;1876;2346;3151;4550;8663;13910;16406;18412;19109;17056;11392;2293;207;9;124078
2021;OPS-1-266;    Elektrophys.Untersuchung d.Herzens,n.kathetergest.;66;46;118;195;219;197;467;524;786;891;1153;1691;3562;6185;8783;11338;14716;17978;24948;13928;4325;696;112812;40;47;94;261;343;339;714;626;741;804;959;1196;1818;2678;3414;4652;6864;10865;17438;11925;4845;1057;71720;106;93;212;456;562;536;1181;1150;1527;1695;2112;2887;5380;8863;12197;15990;21580;28843;42386;25853;9170;1753;184532
2021;OPS-1-268;    Kardiales Mapping;-;15;196;320;361;287;772;781;1190;1509;2086;3182;6574;10982;12633;12872;12026;9414;5952;1052;90;5;82299;2;2;153;289;386;395;975;949;1026;1299;1607;2009;3238;4859;6200;7857;9380;9478;6038;1172;89;5;57408;2;17;349;609;747;682;1747;1730;2216;2808;3693;5191;9812;15841;18833;20729;21406;18892;11990;2224;179;10;139707
2021;OPS-1-269;    Magnetokardiographie;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;2
2021;OPS-1-272;    Kombin. Links- u. Rechtsherz-Katheteruntersuchung;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
2021;OPS-1-273;    Rechtsherz-Katheteruntersuchung;1372;1062;687;567;412;183;309;410;543;711;899;1414;2435;3873;4934;5480;6051;6880;7827;3202;501;31;49783;1057;1088;612;452;323;157;275;361;450;434;605;818;1356;2076;2689;3614;4824;6558;8640;3291;563;38;40281;2429;2150;1299;1019;735;340;584;771;993;1145;1504;2232;3791;5949;7623;9094;10875;13438;16467;6493;1064;69;90064
2021;OPS-1-274;    Transseptale Linksherz-Katheteruntersuchung;464;241;227;97;120;67;226;264;483;781;1262;2245;4825;8064;9206;9514;8990;7394;4958;1307;118;3;60856;380;292;209;133;99;43;139;172;205;293;459;782;1542;3103;4262;6215;7832;8390;6103;1330;159;9;42151;844;533;436;230;219;110;365;436;688;1074;1721;3027;6367;11167;13468;15729;16822;15784;11061;2637;277;12;103007
